NCFR,Duration,DFL,AFL3,AFL1,Gross,NVU,CTFL,FIP,NUFR,Budget,TY,AFL2,IS,AR,MFL
723,178,0,855,1000,760505847,886204,4834,0,3054,2.37E+08,2009,936,7.9,1.78,33000
302,169,563,1000,40000,309404152,471220,48350,0,1238,3.00E+08,2007,5000,7.1,2.35,0
602,148,0,161,11000,200074175,275868,11700,1,994,2.45E+08,2015,393,6.8,2.35,85000
813,164,22000,23000,27000,448130642,1144337,106759,0,2701,2.50E+08,2012,23000,8.5,2.35,164000
462,132,475,530,640,73058679,212204,1873,1,738,263700000,2012,632,6.6,2.35,24000
392,156,0,4000,24000,336530303,383056,46055,0,1902,2.58E+08,2007,11000,6.2,2.35,0
324,100,15,284,799,200807262,294810,2036,1,387,2.60E+08,2010,553,7.8,1.85,29000
635,141,0,19000,26000,458991599,462669,92000,4,1117,2.50E+08,2015,21000,7.5,2.35,118000
375,153,282,10000,25000,301956980,321795,58753,3,973,2.50E+08,2009,11000,7.5,2.35,10000
673,183,0,2000,15000,330249062,371639,24450,0,3018,2.50E+08,2016,4000,6.9,2.35,197000
434,169,0,903,18000,200069408,240396,29991,0,2367,2.09E+08,2006,10000,6.1,2.35,0
403,106,395,393,451,168368427,330784,2023,1,1243,2.00E+08,2008,412,6.7,2.35,0
313,151,563,1000,40000,423032628,522040,48486,2,1832,2.25E+08,2006,5000,7.3,2.35,5000
450,150,563,1000,40000,89289910,181792,45757,1,711,2.15E+08,2013,2000,6.5,2.35,48000
733,143,0,748,15000,291021565,548573,20495,0,2536,2.25E+08,2013,3000,7.2,2.35,118000
258,150,80,201,22000,141614023,149922,22697,4,438,2.25E+08,2008,216,6.6,2.35,0
703,173,0,19000,26000,623279547,995415,87697,3,1722,2.20E+08,2012,21000,8.1,1.85,123000
448,136,252,1000,40000,241063875,370704,54083,4,484,2.50E+08,2011,11000,6.7,2.35,58000
451,106,188,718,10000,179020854,268154,12572,1,341,2.25E+08,2012,816,6.8,1.85,40000
422,164,0,773,5000,255108370,354228,9152,0,802,2.50E+08,2014,972,7.5,2.35,65000
599,153,464,963,15000,262030663,451803,28489,0,1225,2.30E+08,2012,10000,7,2.35,56000
343,156,0,738,891,105219735,211765,3244,0,546,2.00E+08,2010,882,6.7,2.35,17000
509,186,0,773,5000,258355354,483540,9152,6,951,2.25E+08,2013,972,7.9,2.35,83000
251,113,129,1000,16000,70083519,149019,24106,2,666,1.80E+08,2007,6000,6.1,2.35,0
446,201,0,84,6000,218051260,316018,7123,0,2618,2.07E+08,2005,919,7.2,2.35,0
315,194,0,794,29000,658672302,793059,45223,0,2528,2.00E+08,1997,14000,7.7,2.35,26000
516,147,94,11000,21000,407197282,272670,64798,0,1022,2.50E+08,2016,19000,8.2,2.35,72000
377,131,532,627,14000,65173160,202382,26679,0,751,2.09E+08,2012,10000,5.9,2.35,44000
644,124,365,1000,3000,652177271,418214,8458,0,1290,1.50E+08,2015,2000,7,2,150000
750,143,0,393,883,304360277,522030,2039,0,1498,2.00E+08,2012,563,7.8,2.35,80000
300,135,0,4000,24000,373377893,411164,43388,1,1303,2.00E+08,2004,11000,7.3,2.35,0
608,195,1000,3000,21000,408992272,557489,30426,3,1187,2.00E+08,2013,4000,7.2,2.35,95000
451,108,13000,11000,40000,334185206,306320,79957,0,736,2.00E+08,2010,25000,6.5,1.85,24000
334,104,420,560,20000,234360014,383427,21714,0,1912,2.10E+08,2006,808,6.8,2.35,0
376,104,37,760,12000,268488329,235025,14863,0,265,2.00E+08,2013,779,7.3,1.85,44000
366,150,0,464,894,402076689,323207,3218,0,1439,2.00E+08,2009,581,6,2.35,0
378,165,0,808,974,245428137,242420,3988,2,918,2.10E+08,2014,956,5.7,2.35,56000
525,130,0,11000,44000,234903076,175409,73441,4,511,2.15E+08,2013,15000,6.4,2.35,60000
495,142,464,825,15000,202853933,321227,28631,0,1067,2.00E+08,2014,10000,6.7,2.35,41000
469,125,364,1000,12000,172051787,264183,25550,0,665,1.70E+08,2010,10000,6.8,2.35,30000
304,106,487,776,1000,191450875,101178,4482,0,283,2.00E+08,2011,919,6.3,2.35,10000
436,123,258,326,16000,116593191,223393,17657,2,550,2.00E+08,2011,368,5.6,2.35,24000
453,103,125,721,15000,414984497,544884,19085,3,733,2.00E+08,2010,1000,8.3,1.85,30000
422,118,368,988,23000,125320003,286095,27468,0,974,2.00E+08,2009,3000,6.6,2.35,0
424,140,0,14000,26000,350034110,278232,79150,0,657,1.90E+08,2015,23000,7.2,2.35,94000
654,123,395,1000,17000,202351611,465019,32392,0,995,1.90E+08,2013,11000,7,2.35,129000
539,149,0,20000,34000,233914986,514125,91434,7,752,2.00E+08,2014,22000,8,2.35,82000
590,132,14000,928,19000,228756232,395573,21411,0,1171,1.90E+08,2013,981,7.8,2.35,92000
338,114,0,140,979,65171860,106416,1766,1,205,1.95E+08,2013,557,6.3,2.35,22000
490,143,1000,77,29000,144812796,362912,29770,4,753,1.05E+08,2013,509,7.3,2.35,115000
306,116,179,236,15000,90755643,222403,16149,2,453,2.00E+08,2010,567,6.6,2.35,23000
575,131,0,919,16000,101785482,381148,19166,0,1106,1.90E+08,2013,968,7,1.85,83000
428,154,0,581,894,352358779,326180,2593,2,899,1.95E+08,2011,829,6.3,2.35,46000
470,122,14000,1000,11000,317011114,333847,14959,2,2054,1.85E+08,2008,1000,6.2,2.35,5000
488,93,56,838,2000,237282182,273556,5005,0,428,1.85E+08,2012,1000,7.2,2.35,39000
322,122,681,105,998,130468626,53607,1327,4,432,1.85E+08,2016,119,7.5,2.35,30000
421,98,475,522,1000,223806889,718837,2975,0,1043,1.80E+08,2008,729,8.4,2.35,16000
